Question,Answer
Is it safe to take it to airports?,Yes
Will this work well for storing and playing 4k movies,YES
Works with uhd movies formats ? x265 ?,"i have a 75"" and 60"" 1080p only, not UHD so that is a good question. I have to convert it to MP4 format to copy and watch movies off of the external HD."
Can one use this for both a Mac and PC simultaneously?,Not simultaneously. The format used by Mac and PC is different. The drive comes pre-formatted in NTFS format for Windows. It has to be re-formatted to use with a Mac.
Is this drive expandable so i can add an existing ssd card i took from a dead computer?,Im sorry I dont know the answer to this question.
can I downlaod games to it from steam and will it correctly store them and what not instead of taking space on my hard drive?,If you set up the directory the correct way any hard drive can run programs from it.
is cable included,Cable included usb3.0
will this work for a ps4? im lookung to buy the 4tb one for game storage.,"Excellent I understand that you have doubts about the compatibility of the WD 4TB Elements Portable External Hard Drive with the PS4, I will be glad to provide you with the needed information. The requirements for a Storage device in order to work correctly with the PS4 are the following."
"How does this work for PlayStation, what exactly do you do to use it. We have to constantly uninstall games to play new games on our system?","First off, it's just like a hard drive. You can use it to keep games on, instead of your ps4's hard drive storage. Secondly, you can save some games for free from the store on your playstation, just by not doing the ""install download"" . Save them to your ""Library"" on the ps4, and you can go back and download it wh see more"
Does it work on MacOS mojave?,It will work with any macOS but it will need to be reformatted first.
can you turn the wifi portion off?,There's no WiFi function on it. It is just a normal plug and play external drive.
Would I be able to use this as the hard drive for a security camera system? If it is plugged into the dvr- would it store the video?,Thank you for your interest in the products we sell.
Does this work with ps3,I honestly have no idea. Mine is used for a recording studio.
Does it work with the Dish wally to record tv shows ?,Didnt work for me
"somehow my usb part on mine got like bent and broke, what kind of cord is it so I can buy a new one?",https://www.amazon.com/AmazonBasics-USB-3-0-Cable-Male/dp/B00NH13G5A/ref=pd_bxgy_img_3/147-1613129-5674230?_encoding=UTF8&pd_rd_i=B00NH13G5A&pd_rd_r=8d388f5d-b3d8-40d6-bdf0-d88d2d66c168&pd_rd_w=cjMqX&pd_rd_wg=XioeW&pf_rd_p=ce6c479b-ef53-49a6-845b-bbbf35c28dd3&pf_rd_r=DXBSKPARZEX8BE6WF4ZE&psc=1&refRID=DXBSKPARZEX8BE6WF4ZE
Will it work with windows vista?,YES it will
I purchased this December of 2019 and its not working. How do I get a new one under warranty?,"Good luck, tell me too. Something about an oversea's manufacture warantee...hopefully they have US service centers to support their warranty."
what are the dimensions?,4 1/2 inches by 3 1/4 inches.
Does it work with Macbook pro 2017?,It should be formatable to use with a Macbook. I wouldn't use it to try and make a bootable drive with it without checking with Apple first.
I have the first xbox one and want to upgrade to xbox one x if i use this can i transfer all my games and data to my new xbox?,"Hello friend, How are you?"
Does it work with mac,Yes but it will requie reformatting which is pretty easy on a Mac.
Does it work with a Mac laptop ?,"Oooh, absolutely western digital is one of the best external hard drives to use for the Mac laptop. When it comes to my own opinion, I think that it is probably the company you can buy from when it comes to external hard drive\x91s"
Does this device come with back-up software?,No mine didnt come with any backup software. However you can backup your entire computer on this hard drive
I have tv that plays 126 gb usb drives will this 1tb usb drive work the same and play the videos,I do not play videos from this drive on my TV so I dont know. I do know that I can view JPG and TIFF photo files on my Samsung TV when I plug in this drive.
What is the speed of the drive?,5400 RPM
Can i get a chord to go from my samsung galaxy notebook (usb c) to the drive specific usb 3.0 audio/video out/digital terminal?,https://www.amazon.com/Micro-B-CableCreation-Compatible-MacBook-External/dp/B012V56992/ref=sr_1_2_sspa?ie=UTF8&qid=1534714788&sr=8-2-spons&keywords=usb+c+to+usb+3.0+micro+b+cable&psc=1
do i have to reformat this for hIgh sierra on mac???,I had my hard drive formatted for mac before I used it and I am now using sierra. The only problem I can recall is a pc not being able to read it. I do not know what will happen with high sierra.
What is length of included cable?,The cable is about a foot long. Doesn't go very far so you have to have it very near the USB port.
My hp Encore laptop is around 5 years old. Will I have any problems using this old a computer or the 3.0?,No. It will work with ubc 2.0
is this good for students who work with cameras and short films? Is it compatible with the latest model of macbook pro?,I believe it would be compatible with any device that has usb capabilities. It is a large portable hard drive so i would imagine you could utilize it for those purposes.
Have this hooked up to ps4 and it says error CE-41893-5? Anyone know what this means,Is this the first time you plugged it into the PS4? Or have you had the hard drive connected for awhile and randomly this error code came up?
serves to store and play heavy pc games,Works fantastic for my son's xbox one. Grand deal ??
does work on Asus Chromebook?,If it has a USB port it should.
Can i use a esata adaptor to connect to my tivo?,You must check if you tivo accepts drive with Windows sector's format
Does this work with PS3?,Dont know I cant grt it to stay working on my Apple computer
Can i back up my Arlo Pro's with this external hard drive ?,"If you push hard enough, yes..."
where is it mentioned about international warranty?,Its in the manual that comes included you can also check out their website and its on there as well
Does it work with PS4 console?,Very good
Does this baciscly just add GB to your laptop?,"Yes, when your laptop HD is full or cannot be upgraded (due to soldering of HD of your laptop by the manufacturer), this external hard drive has made the use of your laptop possible without having to open the computer up for an internal HD with more GB storage space or buying a new computer with higher HD storage. Thi see more"
I installed this device with no problem and stated my backup with timemachine. It told me it would take 11 hours!!! Is that possible?,Depends on internet connection
Are both ends of the included cable usb 3.0? or is one end usb 3.0 and the other usb-c?,One end is specific for the drive only. The computer end is standard USB.
Does it work with windows 7?,It works like any other flash drive or external drive with Windows 7. And very good.
My pc has a 256 ssd and a 1 tb hard drive. can this back up both?,Yes
dose the 4tb version have to be plugged into the outlet because I want to use it on my Xbox one s but Im wandering if it will take the same supply as the Xbox ?,I have the original Xbox One. All you have to do is turn the Xbox off. Plug the external hard drive into the USB port. Turn the Xbox back on. It will do the rest. I have the same hard drive and love it. No need for another outlet.
"For Macs, will I be able to drag and drop files b/w this and my computer?",Haven't had a MAC since the 90s
does it include a cable,"I have the big one, not the little one like i'm the picture, and yes, arrived with USB & Electicitie cable."
Why only 1.81tb when I paid for 2TB,"Not sure, but maybe system files?"
Will this work with a Tivo Bolt?,Cant get it to work on anything.
is this compatible for mac?,Yes - it includes instructions on how to format it for a Mac.
My hp Encore laptop is around 5 years old. Will I have any problems using this old a computer or the 3.0?,No. My laptop is over 10 years old. Make sure you purchase a better cord.
"Buenos dias, es compatible con Mac","Hola, si, es compatible con Mac, requiere formatearlo para usarlo en MAC."
does anyone know if i can use this without installing any software via cd drive? thanks in advance! using a macbook air.,"Not sure about MacBook, but no software is required in window 7 or 10. You just plug it into a USB port and it shows up."
Is this an esata hard drive compatible for spectrum dvr ?,Gifted to someone else. So I no longer have this. Can't answer your question. Good luck.
I intend to transfer vhs tapes to my imac using diamond video capture vc500 software then transfer to external hard drive instead of to dvd's. input?,"Just Make shure your IMAC can read the format used on your ""diamond video capture vc500 software"""
I have recently purchased a new macbook pro with usb-c connections. is this drive compatible with macbook pro and does it come with usb-c connectors?,"I am not familiar with Mac products, but I hope someone else can help you. (Chase)"
What are the Lithium Polymer batteries for?,there are none that I've been able to find
Does the 1tb and 2tb items come with wd backup utility software? i have a toshiba 1tb unit when backup is done through windows it 7zips the files!,"Excellent day I understand that you have doubts about the use of the WD 1TB Elements Portable External Hard Drive, you would like to know if the device comes with the software to perform backups included, I will be glad to provide you with the needed information."
Does it work on ps4,Yes it does. The console will format the drive for use and then you can download applications onto it.
"Will this work for my Mac straight out of the box? If not, how do I reformat it?",No idea. Not a MAC guy
Q:can this work for a ps4,"You can use any external HDD that has a USB 3.0 connection. The PS4 and PS4 Pro will address up to 8 TB of storage. ... If a drive that has been previously formatted for external storage on the console is connected, it will not format a second drive and will not recognize a previously formatted second drive."
Does this work with ps4?,"Hello, I believe that ps4 will work with The WD 2TB Elements External Hard Drive - USB 3.0. I did some research and found that the adapters and firmware of the devices are similar and there are companies selling a package of (ps4 + WD 2B)."
Does this work with a Mac Pro,Yes it does work with Max Pro
How long will it last? Bought a Stargate one for ps4. Lasted only 3 months.,"don't know, I haven't had it that long"
"Does this work with windows 10? i need this in order to update my windows to 10, will it work?",I have Windows 10 and have been able to back up photos with no problems. That is all I have used it for so far.
Better than LaCie?,"Far better. Give it a try, yourself. If you're not convinced, go ahead and return it. Though, I'm sure you'll be convinced. ;"
Can you use this with Xbox 360?,"Not for the internal drive but it should work if plugged in like you would a USB memory device (but I'm not sure, haven't tried it)"
what if don't include installation? (which is extra $69),"Nothing to install, it is plug and play. Reformatting may be needed, depending on your OS, but that is easily done, even by a novice, in computer management"
about how many photos will this hold?,Millions
Does this hard drive come with any type of automatic backup software for Win10?,All of these are available for free from WD - https://support.wdc.com/downloads.aspx?DL
Can this be used with an Android streaming media box?,Absolutely! What's a streaming media box?
Does it work with pS 4?,"The external hard drive I ordered did not work when it arrived in the mail, and couldnt get a replacement for it. Im sorry I couldnt offer you more assistance."
Is this a solid sate drive? this question was asked before but got 1 yes and 1 no. which is it. i cant see how it can be truly portable and not be.,"No it is not solid state, but if i were u i would not buy this one."
How make works with iPad Pro ?,Nice
Does it work with a Chromebook,I don't know. I have not used it yet.
work for the ps4?,"As long as you are directly connected to the PS4, not connected through a hub, it should work. It is 3.0 technology which is what is spec'd for the PS4."
"My computer is old, 2006, will this device be compatible?",If your computer has USB port it should work. I believe this is pre-formatted for Windows.
How long is the cable that comes with it?,"I have the 2 TB model and the cable is 18"" long."
What is the failure rate?,100%
what rpms does it run at?,I'm very happy with this drive. I can tell you it is the fastest back up I have.
is this(3tb) pmr?,I have no idea what that is.
Can this be powered from a micca speck g2 media player usb port?,Yes. Up to 2TB.
what speed is is this drive 5400 or 7200,5400
Can I hook it up to my cell phone and download all my pictures off my phone?,Only if your cell phone has an USB 3 port and if this USB 3 port can supply enough power to the storage unit.
does this drive come with a transfer cable ?,sorry .. don't know .. gave as a gift
How easy is it to retrieve my information from this device?,Easy as 123
"does the elements hd work with the ""my passport"" utilities program?",It's literally plug and play. Your computer will recognize the drive and you are ready to go.
Can i switch this hard drive between windows 10 and mac? if so what formatting do i need to do?,This drive supports both Mac and Windows format. Id suggest you google instructions on how to perform formatting.
Can you down .exe programs and run ftom the drive?,I haven't tried. I can download and retrieve files but have not tried to run programs from the drive.
Does this hard drive work with playstation 4?,Yes. This hard drive is compatible with the ps4.
I want to use this drive to back up my macbook pro. what is the most efficient file system to reformat the drive? thanks!,"Using disk utility, select Mac OS extended format. Check out WDs website per drives accompanying instructions. Good luck!"
Copying Files - Is it a copy/paste function or does it get backed up in a format that cannot be opened without using the hard drive to restore it?,"It's a copy and paste or transfer from other drives for your data. To copy the OS and installed programs, you need a backup tool. There is one built into Win 10. If you're still running Win 7, you can still get the free upgrade to Win 10 from Microsoft. Just be sure you get the install from Microsoft website and not so see more"
do you need a battery for it to work requires 1 lithium batery not supplied ?,"I don't use a battery. When I connect this hard drive to the computer, the USB cord supplies the power from the computer to the hard drive. I don't need batteries with any of my external hard drives."
Am I able to view digital movies on my TV with this hard drive?,It depends on your TV. Check the owners manual. Some TVs can only access flash storage or network storage.
"Do you have to do anything special to use the files that are stored on this hard drive (i.e., are the files compressed, or changed in any way)?","No, the files are saved ""as they are"", just like they are on your computer. No compression or encryption included in the writing to and from disk."
Does this hard drive have a disk drive for cd's,No
will it work with win 10 file history,"Yes. I use it for that every day! Works perfectly as a ""back up""."
I have a mac. my husband has a pc. can we both use this external hard drive to storage our pics and documents or does it only do one or the other?,Yes. I used it to transfer home videos from my PC and can play them on my Mac.
Is the unit compatible with Mac?,Yes
Can you use one drive on a chrome book and acer with windows 10?,Yes you should be able to no problem!
Hello! will this work with a macbook pro mid 2014,Yes it will. You may have to format it but it works fine.
how is it?Does it work well?,It works great I use it for mainly storage for PS4 / Xbox one works great with both you shouldnt have any issues with it
Does this product come with a usb cable?,Yes it needs a specific kind of USB cable
Does it work on Android tv box,Yes. Also with ps4 and xbox.
Is this ssd or hhd external hard drive?,Probably
"Hi! i lost all my files in the hard drive, the only thing that pops up is ''efi'' and ''sources'' folders, very random, help me!",OMG! I'm sorry that happened. I have no idea how to help
"The wd elements 4tb states that it has a ""memory storage capacity of 4 gb"". is this correct?",It should be 4 TERABYTES not 4 Gigabytes. 4 terabytes is the correct memory storage capacity.
Lookong to buy a ps4 pro 1tb soon and was wanting the memory but more so herd that these make games run smoother and shorter load screens. True?,"In a word, yes. Running games off an HDD vs. a disc is always faster. I modded my PS2 15 years ago to run games of a Maxtor HDD but the key word is ""modded."" I'm assuming you have the capacity to install an upgraded HDD to your PS4 through some sort of modification as I'm sure Sony produced their consoles not to all see more"
I just ordered this and just want to make sure it work with Apple,"It worked great with my Windows10 pc. For Apple, I am not sure, but I would think if you reformatted it for an apple it would be ok."
does it work with Xbox One,Yes. I have one on my Xbox One; and purchased one for my nephews PS4. It works great on both.
"Can I run windows on it, as I replace my fail laptop disk?",You can. This drive wont fit inside your laptop but you can use it externally.
will it work with Acronis True Image 2015?,"It will work with any version of Acronis- all depends on the OS you are using. If it works on your ""C"" drive, it will work on this"
Does it work with an xbox 360?,I read that it does I use it for my ps4
How long does it take to ship?,"I suppose it depends, but I received mine within 2-3 days"
Will this work with Windows 7?,"Yes. Works with Windows 7,8,10"
Will this work with my phone Samsung galaxy 8 plus,"Don't have a Samsung, but it works with my Nexus 6p, using a OTG cable."
can this be reformatted to fat32,"I have not refomatted, but I am sure it could be reformatted to fat32."
"I'm not computer savvy. Can this wirk as basically a storage system for files, pics and videos?","Yes. Plus you can partition the drive I.e. into 2 - 2TB logical drives, or more until you use up the 4TB size. This allows you to put files on one, pics on another, and music on a 3rd partition if you so choose."
Does this support 4k hdr content/playback through a tv usb port or xbox one usb port?,I did not try this delicate
ps4 compatable?,That I don't know as I am not a gamer. It has a USB connector
Has all of my kids baby pictures and wedding pics and video& I can't get it to work It turns on & I can here a disc sound but can't access it suggest?,Make sure you formatted the drive to a read file. I know I accidentally partitioned mine to one computer. It prevented me from transferring my information to a new computer.
Can it store iphone pictures from a iPhone?,I have no idea I use it to store my computer data.
Will this work with the air tv tuner to store recorded tv shows?,Yes I use it with Tablo work great
I have windows 7 will I beable to just plug it in or will I need help to install?,"When you plug it in, you should see a window pop up where you select \x93Open Drive to Display Files\x94. Just click and the drive will be opened in File Explorer."
What is the RPM?,"revolutions per minute. It is like the rpm on a car motor. The higher it goes, GENERALLY the faster it goes."
will it work with a Nikon D850?,"As long as your D850 has the USB port. Otherwise you will have to hook up your camera to your computer and the external drive, then simply drag and drop the files over using your computer as the interface. Very easy, just a pain to hook both up to a computer."
Can this work with transferring pictures from a pixl google phone? Same charger cable for my phone to the external drive?,If you can put things on a thumb drive I believe this would work. It is a USB connection.
is this a solid state drive?,"I got the 4TB rather than the 2TB, but no, mine is a traditional HDD. I assume the same is true of the 2TB. I use mine for long term storage so speed wasn't my main concern. Otherwise, I've been pleased. I really like that it's USB powered rather than requiring external power like several of my older external drives"
What gives? This connects to my 6 year old laptop without any issues and transfers files at around 39 mb/s. It does not connect to my newer laptop ??,"When you say, ""It does not connect"" you mean the USB will not fit or the soft wear isn't compatible? Your new machine may have to format the new drive."
device not updating ?,Not updating how? Call tech support from Amazon.
Why did gene tell me this works \x93great\x94 right out of the box with a ps3 when it does not work?,"Probably because he/she formated the drive first so the PS3 recognizes it, or he/she's a liar."
Has anybody hooked this up with sky TV unit with sling so you can record your local channels and more,Only using it for Ps 4 storage
Does it works with PS4?,"Hello friend, How are you?"
I have a lot of movies will I be able to move them on to this ?,It will store any type of data.
Is this compatible with a Dish Hopper?,"I am not familiar with a ""Dish Hopper."""
will it work with mac,Yes but it requires reformatting. Takes about a minute with Apple Disk Utility.
Is it possible to use this hhd as a backup drive? And by backup drive I dont mean just copying my windows files on it but continus automated backup.,"Don't see why not, but the programs may run like a potato."
is there a trick to get it to work? No instructions with it and it's always empty.,"I don't have the 2TB Elements. However, I have a couple 12TB ones. You should get a drive letter in your file explorer, and it (at least on mine) states ""elements"" behind it. You have to put the files you want on that drive. You can install programs to that drive. Or, you can cut and paste files to that drive. If you a see more"
Will this work on Android?,"Excellent day Winston I understand that you have doubts about the compatibility of the WD 2TB Elements Portable External Hard Drive with an Andriod OS device, I will be glad to provide you the needed support."
What type of usb 3.0 cable (i.e. type a to type a) does this need? i want to get a longer cable with it.,A-male to micro-b
Does this work for macbook,"If it doesn't say that it's specifically for Mac, you have to format first."
"The specs show, ""1 Lithium ion batteries required."" What!? Why!?",I think that is an error.
do you have to reformat this for a mac or is it ready to go?,It's ready to go. Apple recommends partitioning external drives but that's up to you.
Cu?ntos mb/s?,"upssssssss !! Lo siento, es una dato que no he medido, por lo que no tengo como responderte."
Does it work on ps4 slim?,"Excellent day Kyomi, I understand that you have some doubts about the compatibility of the WD 2TB Elements Portable External Hard Drive. I will be glad to provide you with the needed information. The requirements for a Storage device in order to work correctly with the PS4 are the following."
Does this work with Xbox One?,It should work fine as storage drive. It is 3.0 USB technology it should compatible with xbox.
Can this be a back up?,It would be perfect as a backup if the quality was any good. Stay away from this product! It's not worth the return later!
Is this hd suitable for any pc or just mac users?,It is suitable for any pc.
ps4 compatable?,it is actually the second one I bought. It works perfectly.
Can it be used for a pc and a mac interchangeably?,"No idea. Not familiar with Mac at all, sorry !!"
Will a go pro plug directly into this or do you need to remove the sd card?,This is just a storage device. It needs to be connected to a computer.
Dose it work with nvidia shield,Your question is way over my element when it comes to tech stuff...........sorry. It is perfect for my desktop!
How many Mbps on reading and writing speed?,Excellent
Will this work with a chromebook?,"I am using it for my Xbox One S, so it should work with a Cromebook too. :)"
Does it works with ipone x?,Not sure I bought it for Tablo ota dvr
is this ps3 compatible out of the box?,"I wouldn't recommend this drive for gaming. It's horribly slow and can't keep up, so the games keep lagging."
Can I use this 2tb as an external storage for Arlo Pro security system?,"Hello Lays,"
How to move movies recorded on dish to a wd elements external hard drive unit?,Depends on your dish unit if it supports this
Does it plug into esata,no
"If i format this for windows, will i be able to access my files from a mac later?","Im not sure on this one. I didnt have to format the drive. I simply plugged it in and waited for the operating system (Windows 10 and 7) to recognize it. The device uses flash memory, kind of like a really big USB thumb drive."
Does this work with an old hp laptop with Vista?,"Yes, I believe it does."
Is this a ssd?,No it is not
Can I download my memory card without using a computer?,Interesting question. Can one do that?
Mi tv tiene entrada usb es compatible con el disco externo para comprarlo ahora,"Mira, si tienes una SmartTV que soporte hasta 4TB si te ser? ?til, mientras no. Yo tengo en casa un Samsung Serie 6 SmartTV y me ley? mi WD de 4TB"
Is this compatible with a ps4?,That exactly what it for
does this work with dish hopper/,I think so. They have the criteria needed at the bottom of this page. https://www.mydish.com/external-hard-drive
Can it be formatted for windows 10? will it work with win10 os?,"Yes, it works well on Windows 10. I'm using two of them on my Windows 10 desktop. One is used for backups. The other is used for Plex Media Server to store movies."
does it connect to SCSI port?,"As the product description clearly states, it connects via usb port."
work with ps4?,"Hello friend, yes, you can use it on a ps4, you only have to reformat the Hard drive on the ps4 with the required format for it"
Can i back up windows 7 home premium operating system and run computer from the external drive with backup when my internal drive fails?,Back up your data on the external and when you drive fails buy a new one and reinstall the Operating system from a CD or thumb drive.
"What is the exact, numerical read speed of this portable drive?","Recommend ""googling"" WD web site or articles from WD, about this specific HHD unit, if specific numbers are important to you."
How long do these last I bought a Seagate hard drive for my Xbox and it quit within a year,It depends on the type and level of use. If you are running games directly from the drive then its life will be much shorter than just accessing unstructured data like files.
Does lg sell any hds That run on a 32 bit Mac?,"I am not sure about what LG makes. Once it a Hard Drive it can work on Mac or pc. If it doesnt work at first the computer may reformat it to fit that computer. Once its reformats then it will only save that type of file. Example, if you reformat for Mac, it will be ready to save Mac only files."
"can the ad be printed, how",Dono.
will this work with Dish network?,No. You need hard drive with its own power supply. WD Elements 3.5\x94 desktop version will work. This web page has the requirements: https://www.mydish.com/external-hard-drive
How do i Reformat for dish drv?,Open drive. Right click. Menu will open. Scroll to format (drive) (disk).
Will this work with my Vic-20?,Thank you for your interest in our products.
Pmr or smr?,Good question. There is nothing in the Packaging that came with the drive that states this. I couldn't find anything on WD web site that stated this either.
why is this 1.5 lbs? similar model is jus .5lb! what does the extra one pound giet you?,Their 2TB model is about .5 pounds. So I believe the answer is about 2 more TBs of storage space. Not sure why weight is your deciding factor.
is this compatible with a Mac book pro,Yes.
Is it wifi?,"No wifi, it's USB connected only"
Does this come with win10 compatible wd smartware software that can be set up to do auto backups every time a file is changed or added?,Most likely you will have reformat your drive so that your windows operative system automatically ask you if you want to use this device as your system back up. I use mine with a Mac and automatically recognizes the device and ask me to set it up as my backup. I hope it helps!
Is there a way to reformat it without using disk utility? Im trying to connect it to my school Mac but I cant open it.,"You can reformat it to exFAT on a Windows or Linux machine, and the Mac should read it and write to it just fine."
Is this compatible with USB 2?,"Seems to be compatible with my HP computer that has USB 2. So, I would say yes"
Is it compatible with an older iMac?,"I couldn't say I do not own an IMac, I'm sorry."
will this work with chromebook?,Will work with anything
can I use it inside ps4,Yes. That is what I bought it for. It has worked perfectly. I have it connected externally.
Q: does the 5tb model or any other utilize the SMR technology,"No Clue, I bought the 2TB model, and that does NOT use SMR....."
"Not very tech saavy, if it is not compatible with either one of my computers, is it returnable? Thank you!","Maybe, that would be up to the seller. But if you have a USB I'm sure it will work as an ""external"" only hard drive."
What exactly do you need to do step by step to format this for a mac?,Instructions are provided online. Very simple.
How many computers can I back up with this?,"Goes with how much space you have left I suppose. Although I only back up my data folders, never back-ed up my computers."
"How come this will not work on my 24"" Samsung tv?","Because your samsung tv is a... tv, not a computer."
I got this in '18 & it's been working great. But recently it started making clicking noise when plugged into my laptop & can't view my files! Help?!!,"Unfortunately,although this is a really nice portable hard drive, it is not indestructible. While it is plugged into a laptop the little discs are"
is this compatible with mac os x?,You would have to format the drive to APFS or Mac Os Journaled
Can it be used for digital movies,"It will store them without issue, but I was unable to plug this directly into the USB on any of my TV's and have it read directly. I hgv ave others that work this way"
Does it work on the ps4 slim,"According to Amazon, question & answer section, the answer is ""yes"". See quotes below: Q: Best memory card"
The plug and play function does not see the plugged in drive at all. The light is on but the computer does not read it. What is wrong?,"Obvious answer: reboot computer, make sure power cord is all the way in, and plug into different USB port."
"The wd elements 4tb states that it has a ""memory storage capacity of 4 gb"". is this correct?",no it has a memory storage of 4tb which is way way more than 4gb
Does it work with PS4 console?,"It works with my Xbox One, so I dont see why not."
compatible 2.0?,I don't know. I have the 1 TB hard drive. It should work with the 2.0.
Est\xe9 producto esta listo para usarlo sin instalar ninguna otra cosa es decir cuando me llegue puedo conectarlo a mi laptop y pasar los datos que quier,Si. Puedes utilizarlo directamente. Si necesitas un formato de divisi?n particular en el disco hazlo antes de empezar.a guardar datos
I back -up automatic with norton to external now will this be similar?,Yes
Can you make an identical copy of the entire operating hard disk?,"Yes, Under windows backup and restore."
"Ps4 users, how does it work and how do you set it up properly for it? And is there better ways of using it for storage and such? Id love full rundo",Be advised these have a habit of dying early.
Is it supposed to blink,"The green LED should blink when there is activity such as when data is being read from, or written to the drive, or when you first connect it to a computer."
"Does the auto backup software recognize the new wd if you have an existing wd drive? best buy says no, and i couldn't get it to see the new drive.",I don't do automatic backup. Every few months I connect to a computer manually and download all my documents from the main computer to this backup drive..It's important for me to do so because with damage or malfunctioning my computer I can still connect it to another computer and use it with my documents elsewhere.
Why no audio? I put movies on here. I plugged it into my TCL Roku TV. I get video but no audio.,Not sure I have mine plugged into my laptop and I have audio and video
Does this work for playstation 4,Not really sure since I don't have one of these but I would guess I would work. Check with the playstation 4 documentation for any limitation for the storage that the unit can handle.
Will this work for a ps3?,I would think so you should try it
Does it have an internal fan? Is it loud?,No internal fan But it's pretty quiet.
"I use an old Surface as a secondary computer on my desk, the memory is almost full. Will this hard drive automatically give me more memory?",Sorry. Dont know anything about a Surface or how it works. Unable to help.
Can i plug it into my tv and watch movies,"There are no buttons on the Hard Drive to start, stop, or pause movies. The hard drive is for storage only. The loading and deleting of data (movies) is controlled by windows. This external hard drive is slower than the hard drive in your computer. Sorry, no playing of movies."
Will Western Digital offer free recovery in case this hard drive failed?,"Don't know, ask the manufacturer"
I have on old os for macbook pro (10.7.5). need to upgrade os but do a backup first. will this work with old os?,"Yes, but you will have to format the drive. You wont be able to use the backup apps from WD"
"Product information above sez"" one lithium batttery required"". Uhhhhh where do I put the battery?",I didnt have a battery to put in. I pug it in to my xbox and that powers it.
can someone tell me how to use this for xbox one?,I don't believe it would. When it is in on the network you can see it. But I don't know it you could transfer saved game to it and play them off the drive.
Can you put Sync iPhone to this ?,No se por que nunca me lleg?
Is this item eligible for returns?,You will have to ask the seller.
How long is the included cable for the wd elements portable 5 tb drive? this question is for the portable drive.,long enough to plug into usb and set ontop of a tower if the usb is plugged in back toward top
Does this install and work with Windows XP?,Yes it should work with Windows XP wit no issues. If not you should be able to format the drive within WIndows XP https://www.wikihow.com/Format-the-C-Drive-on-a-Windows-XP-SP2
Can I use this to back up and save docs and pictures in Windows 7 & Windows 10?,You should be able to. The drive should be backwards compatible and the cable should work on a USB 2 port. You may need update your USB drivers but I don't think so. This is a slow drive and updates may not be necessary. So a qualified yes because nothing is simple with windows.
Can i transfer photos and videos with high definition?,"Yes, most of my videos are 720 and 1080. As well as pics."
Can I store games in it?,Yes you can. It's USB 3.0 so you can run some games off it. But I do note recommend playing first person shooter or moba games off it. There may be a lag. RPG games are okay to run from it.
Could i use this on my ps2 for like opl?,Go online and do some research. That's what the internet is for.
Can this be used to backup a wd 2nd gen my cloud mirror?,Better not mine was just burnt out and all data gone
Will this work with HP Chromebook,I can't claim direct knowledge since I don't have a chromebook. but checking online indicates that standard external hard drives work with chromebooks. And I don't know anything about the wd drive that would be non-standard.
Can I use this for both my Mac and ps4?,If you have one or more USB jacks type 2 the answer is Yes. See the photo in some USB connectors tutorial.
How can we contact the Seller?,Clicking contact seller
Will this work ok n a wiiu?,"Excellent day Luis I understand that you have questions about the compatibility of the WD 1TB Elements Portable External Hard Drive with a WII U console, I will be glad to provide you the needed information."
Would I be able to store files from both an iPad and a pc on the same external hard drive?,Yes you can. It's very easy
"Will it work on usb 2.0 on an old macbook pro (mid 2009)? if so, would it require an external power source? or will usb 2 power it?","No external power source is needed, your USB port will power it. It should work just fine in a USB 2.0. However, USB 2.0 transfer speeds may be significantly slower than USB 3.0."
I have an nas and i'm wondering if this could be used to sync/autobackup all my files on the nas? thank you.,I readed that this one didn't have that function.
Can this drive be used as an internal HDD after taking out from the case?,"I seriously doubt that it could be used as an internal drive, however, I would think that you could contact Western Digital and ask them."
What type of connection is on the drive itself? is it proprietary? usb-c? usb-a?,USB 3.0 Micro-B
why does light blink,Blinking is normal. It indicates drive access.
can i use this in my wii u?,I do not know. I do use this product
Can data files backed up with this drive from a desktop PC be copied to iMac?,"I am not an iMac user, but I believe that you may be able to copy the files OK."
Can this move files from a Mac to a PC?,"Hello friend, How are you?"
"How to I ""back up"" from computer to this device?","Excellent day Jan I understand that you have doubts about the use of the WD 2TB Elements Portable External Hard Drive you would like to know how to perform a backup of your computer, I will be glad to provide you the needed support."
Can i transfer data from my ps3 to it?,I've been using it with my xbox one and 360 without issues.
My new pc ssd is only 256 gig. my old pc has almost 1 tb of data. can this device be used as an extended drive; not just a back device?,It will show up as an external drive when plugged in and you can use it to save or transfer files. Doesnt need to be used exclusively as a backup drive.
Will this work in a car with vibrations and bumps from driving?,"I would say no. This unit contains a small 2.5"" ""spinning"" drive without sufficient protections from vibration you would get in a moving vehicle. The best solution would an SSD which has no moving parts. Take care."
Does it give more gigs,"Hello friend, How are you?"
How do i format the wb 4t elements portable for mac os 10.14 mojave?,You have to open Disk utilities and erase the disk to start it over for a mac.
I want to transfer music (itunes) and photos from my old windows pc to my new pc? will this work?,I was operating windows 8.1 and USB 2.0 port. No problem moving from old computer to Elements.
Length of the usb cable it comes with?,Not sure about 10 inch.
can i install games on it from steam?,Yes I use mine as storage for my xbox and have 31 full games stored on it. Only used about 40% of space. If connected to xbox than only can used by xbox system not sure if steam does the same thing. Also works with cpu or ps4.
Why is there no 3TB drives?,cost at present
Is USB cable included?,Yes
How do i set the hard drive up please respond I need help,"For me, it was plug and play. Plugged into a usb port on the computer, and the drivers and stuff auto installed, and in a minute or two the thing was working like a champ."
